,establecimiento,Provincia,Sector,Ámbito,Matricula__12_total,Matricula__13y14_total,matricula_5to_6to,bajo,medio,alto,NSE,%_bajo,%_medio,%_alto,total_censados,isocioa_puntaje,tasa_no_respuesta
435,431970071542843,Córdoba,Privado,Urbano,61.0,,61.0,0.0,29.0,19.0,medio,0.0,0.6041666666666666,0.3958333333333333,48.0,0.689300213315771,0.7868852459016393
436,434720010643804,Córdoba,Estatal,Urbano,46.0,,46.0,12.0,25.0,4.0,medio,0.2926829268292683,0.6097560975609756,0.0975609756097561,41.0,-0.586464923208143,0.8913043478260869
437,436920092637643,Córdoba,Estatal,Urbano,13.0,,13.0,3.0,6.0,0.0,medio,0.3333333333333333,0.6666666666666666,0.0,9.0,-0.6963801128819473,0.6923076923076923
438,437003229204370,Córdoba,Estatal,Urbano,55.0,53.0,108.0,2.0,36.0,10.0,medio,0.041666666666666664,0.75,0.20833333333333334,48.0,0.47833384297907283,0.4444444444444444
439,437400012648604,Córdoba,Privado,Urbano,11.0,,11.0,0.0,3.0,5.0,alto,0.0,0.375,0.625,8.0,1.0154991890725908,0.7272727272727273
440,440960072945644,Córdoba,Estatal,Urbano,17.0,20.0,37.0,8.0,7.0,0.0,bajo,0.5333333333333333,0.4666666666666667,0.0,15.0,-0.8581181474882977,0.40540540540540543
441,440970472945644,Córdoba,Estatal,Urbano,8.0,6.0,14.0,2.0,4.0,0.0,medio,0.3333333333333333,0.6666666666666666,0.0,6.0,-0.8136185022913468,0.42857142857142855
442,441210010783854,Córdoba,Privado,Urbano,20.0,21.0,41.0,4.0,13.0,2.0,medio,0.21052631578947367,0.6842105263157895,0.10526315789473684,19.0,-0.28215974311669684,0.4634146341463415
443,445450082877344,Córdoba,Privado,Urbano,34.0,,34.0,1.0,19.0,12.0,medio,0.03125,0.59375,0.375,32.0,0.7544892982874832,0.9411764705882353
444,447006004470060,Córdoba,Estatal,Urbano,57.0,,57.0,1.0,27.0,15.0,medio,0.023255813953488372,0.627906976744186,0.3488372093023256,43.0,0.600759846882654,0.7543859649122807
445,448500967380448,Córdoba,Estatal,Urbano,23.0,17.0,40.0,3.0,15.0,4.0,medio,0.13636363636363635,0.6818181818181818,0.18181818181818182,22.0,-0.0511389889047471,0.55
446,453600084282045,Córdoba,Estatal,Urbano,21.0,,21.0,12.0,8.0,0.0,bajo,0.6,0.4,0.0,20.0,-1.0975024292716378,0.9523809523809523
447,454250011071854,Córdoba,Estatal,Urbano,39.0,14.0,53.0,11.0,20.0,4.0,medio,0.3142857142857143,0.5714285714285714,0.11428571428571428,35.0,-0.3014429298392938,0.660377358490566
448,461770085686746,Córdoba,Estatal,Urbano,10.0,9.0,19.0,6.0,4.0,0.0,bajo,0.6,0.4,0.0,10.0,-1.0571526983125907,0.5263157894736842
449,463050068742146,Córdoba,Estatal,Urbano,185.0,,185.0,23.0,128.0,22.0,medio,0.1329479768786127,0.7398843930635838,0.12716763005780346,173.0,-0.049463862295539084,0.9351351351351351
450,466500210345466,Córdoba,Estatal,Urbano,32.0,37.0,69.0,0.0,21.0,0.0,medio,0.0,1.0,0.0,21.0,-0.12582036496016963,0.30434782608695654
451,472320013453444,Córdoba,Estatal,Urbano,36.0,,36.0,15.0,10.0,0.0,bajo,0.6,0.4,0.0,25.0,-1.0167002183285132,0.6944444444444444
452,472320013463044,Córdoba,Estatal,Urbano,41.0,,41.0,10.0,24.0,4.0,medio,0.2631578947368421,0.631578947368421,0.10526315789473684,38.0,-0.26479754315189546,0.926829268292683
453,472320013472644,Córdoba,Privado,Urbano,38.0,,38.0,0.0,10.0,4.0,medio,0.0,0.7142857142857143,0.2857142857142857,14.0,0.5641098801527941,0.3684210526315789
454,472320013491844,Córdoba,Estatal,Urbano,11.0,17.0,28.0,0.0,8.0,3.0,medio,0.0,0.7272727272727273,0.2727272727272727,11.0,0.4920418425366249,0.39285714285714285
455,473000070095047,Córdoba,Estatal,Urbano,29.0,19.0,48.0,5.0,21.0,2.0,medio,0.17857142857142858,0.75,0.07142857142857142,28.0,-0.586088747742522,0.5833333333333334
456,473960011516904,Córdoba,Privado,Urbano,34.0,,34.0,0.0,23.0,8.0,medio,0.0,0.7419354838709677,0.25806451612903225,31.0,0.6853947518591389,0.9117647058823529
457,475200505476475,Córdoba,Privado,Urbano,34.0,,34.0,0.0,18.0,11.0,medio,0.0,0.6206896551724138,0.3793103448275862,29.0,0.7377321157279207,0.8529411764705882
458,478170088496147,Córdoba,Estatal,Urbano,38.0,12.0,50.0,5.0,29.0,1.0,medio,0.14285714285714285,0.8285714285714286,0.02857142857142857,35.0,-0.30781483979498064,0.7
459,478210013632384,Córdoba,Privado,Urbano,11.0,,11.0,0.0,5.0,5.0,medio,0.0,0.5,0.5,10.0,1.0270996337763691,0.9090909090909091
460,479600308704479,Córdoba,Privado,Urbano,96.0,,96.0,0.0,51.0,42.0,medio,0.0,0.5483870967741935,0.45161290322580644,93.0,0.7739872172164132,0.96875
461,480003369604800,Córdoba,Estatal,Urbano,42.0,34.0,76.0,1.0,26.0,3.0,medio,0.03333333333333333,0.8666666666666667,0.1,30.0,-0.1398282724684838,0.39473684210526316
462,480960010084324,Córdoba,Estatal,Urbano,39.0,45.0,84.0,2.0,32.0,3.0,medio,0.05405405405405406,0.8648648648648649,0.08108108108108109,37.0,0.1364192767848616,0.44047619047619047
463,480960010105924,Córdoba,Estatal,Urbano,10.0,7.0,17.0,1.0,7.0,0.0,medio,0.125,0.875,0.0,8.0,-0.50282705727359,0.47058823529411764
464,482970071547948,Córdoba,Privado,Urbano,66.0,,66.0,0.0,34.0,31.0,medio,0.0,0.5230769230769231,0.47692307692307695,65.0,0.8745398276236184,0.9848484848484849
465,486400089772848,Córdoba,Estatal,Urbano,114.0,,114.0,9.0,70.0,16.0,medio,0.09473684210526316,0.7368421052631579,0.16842105263157894,95.0,0.1063368343092233,0.8333333333333334
466,486400089900848,Córdoba,Estatal,Urbano,45.0,,45.0,7.0,14.0,0.0,medio,0.3333333333333333,0.6666666666666666,0.0,21.0,-0.7779649769399228,0.4666666666666667
467,489600100872048,Córdoba,Estatal,Urbano,13.0,7.0,20.0,1.0,10.0,1.0,medio,0.08333333333333333,0.8333333333333334,0.08333333333333333,12.0,-0.271665536959089,0.6
468,492960072950849,Córdoba,Privado,Urbano,67.0,,67.0,1.0,27.0,34.0,alto,0.016129032258064516,0.43548387096774194,0.5483870967741935,62.0,0.949909124659153,0.9253731343283582
469,492960073002849,Córdoba,Estatal,Urbano,72.0,41.0,113.0,13.0,38.0,7.0,medio,0.22413793103448276,0.6551724137931034,0.1206896551724138,58.0,-0.22295967011908002,0.5132743362831859
470,494650091240549,Córdoba,Privado,Urbano,29.0,,29.0,6.0,19.0,1.0,medio,0.23076923076923078,0.7307692307692307,0.038461538461538464,26.0,-0.3886440316730724,0.896551724137931
471,494650091305549,Córdoba,Estatal,Urbano,14.0,13.0,27.0,6.0,6.0,0.0,bajo,0.5,0.5,0.0,12.0,-1.0742281023644378,0.4444444444444444
